Note,titre,texte_positif,texte_negatif,full_review,cleanliness_label,comfort_label,location_label,proprete,comfort,location
8,Très bien,"Situation très central, 5 lignes de metros en face de l'hôtel, quartier très vivant,","Chambre un peu petite mais on n'y reste de toute façon que très peu de temps, donc ce n'est pas si important que ça","Très bien . Situation très central, 5 lignes de metros en face de l'hôtel, quartier très vivant, . Chambre un peu petite mais on n'y reste de toute façon que très peu de temps, donc ce n'est pas si important que ça",not_mentioned,positive,positive,0,1,1
7,Bien,"emplacement très bien personnel très gentil, chambre bien équipée","le froid malgré le chauffage à fond, chambre mal isolée","Bien . emplacement très bien personnel très gentil, chambre bien équipée . le froid malgré le chauffage à fond, chambre mal isolée",positive,positive,positive,1,1,1
8,Très bien,L'emplacement est top. C'est propre c'est calme,Le périt déjeuner très bof bof et basic  prendrais plus avec petit déjeuner,Très bien . L'emplacement est top. C'est propre c'est calme . Le périt déjeuner très bof bof et basic  prendrais plus avec petit déjeuner,positive,negative,positive,1,-1,1
7,Chambre propre et modeste.,Chambre modeste mais propre. L'hotel est très bien situé.,L'hotel est cher et le petit déjeuner peu copieux.,Chambre propre et modeste. . Chambre modeste mais propre. L'hotel est très bien situé. . L'hotel est cher et le petit déjeuner peu copieux.,positive,not_mentioned,positive,1,0,1
8,Parfait pour une nuit,"L’emplacement, personnel courtois et calme la nuit",Un peu vieillot mais bon rapport qualité prix,"Parfait pour une nuit . L’emplacement, personnel courtois et calme la nuit . Un peu vieillot mais bon rapport qualité prix",not_mentioned,negative,positive,0,-1,1
7,Bien,"Bien localisé, chambre bain refaite très propre",Rue bruyante,"Bien . Bien localisé, chambre bain refaite très propre . Rue bruyante",positive,not_mentioned,positive,1,0,1
8,SUPER !,"Emplacement au cœur de la ville proche de nombreuses attractions et du métro._x000D_
Personnel super sympa et accueillant. Chambre OK suffisant pour 2 jours :).",Lits moyennement confortables et travaux dans la rue le matin (indépendant de l'hôtel mais ça réveille). Prendre boules quies :),"SUPER ! . Emplacement au cœur de la ville proche de nombreuses attractions et du métro._x000D_
Personnel super sympa et accueillant. Chambre OK suffisant pour 2 jours :). . Lits moyennement confortables et travaux dans la rue le matin (indépendant de l'hôtel mais ça réveille). Prendre boules quies :)",not_mentioned,positive,positive,0,1,1
7,Bien,Métro en face de l hôtel et localisation parfaite pour se balader à Paris.,Pas de petit déjeuner.,Bien . Métro en face de l hôtel et localisation parfaite pour se balader à Paris. . Pas de petit déjeuner.,not_mentioned,not_mentioned,positive,0,0,1
8,Bien,La proximité et la serviabilité du personnel,Le petit déjeuner est médiocre,Bien . La proximité et la serviabilité du personnel . Le petit déjeuner est médiocre,not_mentioned,not_mentioned,positive,0,0,1
7,Bien,"L'emplacement, l'accueil, la chambre",Le bruit,"Bien . L'emplacement, l'accueil, la chambre . Le bruit",not_mentioned,not_mentioned,positive,0,0,1
9,Fabuleux,"Vous sortez du metro Chatelet et voilà c'est l'hotel, tout est proche à l'hotel et votre visite à Paris est faite facilement et confortablement.",Une bouilloire de l'eau et des tasses auraient été parfaites.,"Fabuleux . Vous sortez du metro Chatelet et voilà c'est l'hotel, tout est proche à l'hotel et votre visite à Paris est faite facilement et confortablement. . Une bouilloire de l'eau et des tasses auraient été parfaites.",not_mentioned,negative,positive,0,-1,1
8,pratique pour 1-2 jours,emplacement parfait,meubles un peu vétustes,pratique pour 1-2 jours . emplacement parfait . meubles un peu vétustes,positive,not_mentioned,positive,1,0,1
9,Séjour agréable,"accueil excellent, emplacement très bon","machine eau chaud dans la chambre pour café, lit twin très peu présent dans l'hôtel","Séjour agréable . accueil excellent, emplacement très bon . machine eau chaud dans la chambre pour café, lit twin très peu présent dans l'hôtel",not_mentioned,positive,positive,0,1,1
7,toppp,très proche,il y’a beaucoup de bruit,toppp . très proche . il y’a beaucoup de bruit,not_mentioned,not_mentioned,positive,0,0,1
8,Très bien,"Pil poil entre le Louvre, l'île de la cité et de beaubourg avec une des sorties de métro de Châtelet qui est juste face à l'hôtel. Boutique, Resto et bar à proximité... Personnel de l'accueil très sympatique","Pas grand chose si ça n'est, que l'hôtel aurait besoin d'un petit coup de fraicheur (ça reste tout de même très correct). La nuit du samedi fut très bruyante dans la rue, mais celle du dimanche et lundi bcp plus calme. Draps de bain changer chaque jour, pq??? Par contre je n'ai eu de nouveau savon ou shampoing/douche... Bizarre 😉","Très bien . Pil poil entre le Louvre, l'île de la cité et de beaubourg avec une des sorties de métro de Châtelet qui est juste face à l'hôtel. Boutique, Resto et bar à proximité... Personnel de l'accueil très sympatique . Pas grand chose si ça n'est, que l'hôtel aurait besoin d'un petit coup de fraicheur (ça reste tout de même très correct). La nuit du samedi fut très bruyante dans la rue, mais celle du dimanche et lundi bcp plus calme. Draps de bain changer chaque jour, pq??? Par contre je n'ai eu de nouveau savon ou shampoing/douche... Bizarre 😉",positive,not_mentioned,positive,1,0,1
2,Mal,Emplacement,"Très petit hôtel_x000D_
Chambre très petite_x000D_
Escalier trop serré où on ne peut pas monter une petite valise","Mal . Emplacement . Très petit hôtel_x000D_
Chambre très petite_x000D_
Escalier trop serré où on ne peut pas monter une petite valise",not_mentioned,negative,positive,0,-1,1
3,Assez médiocre,Très bien placé,"Photos non conforme à la réalité, plus petit, vieux et usé que ce que montre les photos.","Assez médiocre . Très bien placé . Photos non conforme à la réalité, plus petit, vieux et usé que ce que montre les photos.",negative,negative,positive,-1,-1,1
5,très bien mais ...,chambre (sanitaires) et espaces communs propres. super localisation,"la fenêtre de la chambre ne se fermait pas correctement : donc chambre froide et salle d'eau froide, très bruyant. comme il n'y a pas d'isolation avec l'extérieur tous les bruits de la rue sont dans la chambre. c'est bien dommage.","très bien mais ... . chambre (sanitaires) et espaces communs propres. super localisation . la fenêtre de la chambre ne se fermait pas correctement : donc chambre froide et salle d'eau froide, très bruyant. comme il n'y a pas d'isolation avec l'extérieur tous les bruits de la rue sont dans la chambre. c'est bien dommage.",positive,negative,positive,1,-1,1
8,Très bien,Emplacement et prix,Deco et entretien,Très bien . Emplacement et prix . Deco et entretien,not_mentioned,not_mentioned,positive,0,0,1
